Ticker,Ticker Index,End,Estimation Window,Signal Window,Alpha,Beta,Residual Return,Residual Mean,Residual Volatility,Residual Sharpe,Residual Z-Score,Residual Momentum,Residual Skewness,Residual Excess Kurtosis,Residual Autocorrelation,Cumulative Residual Return
EAFC,50,499,60,20,-0.004351051989290277,0.9450312047307277,-0.0010248793388653308,-0.0016403663406494655,0.018349395632754603,-0.08939620538353472,0.033542630727600595,-0.03280732681298931,0.21701334412752446,-0.550175276897992,0.04894479430376194,-0.0001813455431188271
EELT,37,499,60,20,0.0016775172318392627,1.9068335451034188,0.010401235054993624,-0.013327294289501444,0.028524817837682282,-0.4672175074119359,0.831855596046922,-0.26654588579002886,-0.37238554047342254,0.2804442148449455,0.09500968200929955,-0.1652864131984602
ELLT,4,499,60,20,0.0006626489155641403,1.0818877829821272,-0.0067009256260149065,0.00020051198852855727,0.017815296176191726,0.011255046592855443,-0.3873883176731303,0.004010239770571146,0.38251577267373416,0.08509149465127841,0.29574072438228965,-0.09179094004659676
EORC,13,499,60,20,-0.0030662796518270263,1.1466912317456515,-0.02657045217106325,0.0010025624861602677,0.02589837022301756,0.038711412244359124,-1.0646621551775328,0.020051249723205353,-0.24185767379284567,-0.4454206988381664,0.28141365368449667,-0.09404666814998892
FARS,48,499,60,20,-0.00020793961908481073,0.8374470844261104,0.022528229224465342,0.0041495169047677406,0.01135284573456122,0.36550456174485463,1.6188639174183164,0.0829903380953548,0.08140194928058357,-1.0235968272710667,-0.35925701584118824,0.13781525060750952
FCSG,47,499,60,20,1.0272660467428688e-06,1.490858745646406,0.015111696760438371,0.009514970124825346,0.020016758588683237,0.47535019632023595,0.2796020449972962,0.1902994024965069,1.0389849027230167,0.4762871914935154,0.28780038780017625,0.0016908204780760189
FWWG,36,499,60,20,0.0003073672308901907,0.2871201523788463,-0.014184367047340152,0.00023553005197548532,0.012246449877545688,0.019232516715504487,-1.1774756965081812,0.004710601039509706,0.19843627870920172,-0.8414870252103426,-0.0013105177057380058,0.10436093967149024
GARI,29,499,60,20,0.0006940595077609076,0.8628650613280751,0.012497690381868546,0.004341927836177234,0.020475522351034846,0.21205455771719495,0.3983176793181598,0.08683855672354468,-0.2401638535451801,-0.8614909334486693,-0.10592948387508407,-0.047950147348639116
HETT,7,499,60,20,-0.0026903739565682797,0.708081501184837,-0.001220416941386665,0.0014020151203314368,0.01220855172792238,0.11483877462097858,-0.21480287917528287,0.028040302406628737,-0.3197264929422205,-0.1593565020954788,-0.06880453158964343,-0.23241695216438654
HRET,15,499,60,20,0.0018494220096773025,0.5964554725720032,-0.05819475226905065,0.001588123795346522,0.01768712433482115,0.08978982480605607,-3.380022378578575,0.03176247590693044,-1.98424851247804,6.562164451568293,0.1239852654604542,0.09857904868154288
HRND,38,499,60,20,-0.002419283362575494,0.8286075589475239,0.017692725863720914,0.005616696383954028,0.028601508008359252,0.19637763093863647,0.42221653054927977,0.11233392767908057,-0.8546789215617182,-0.1293269027501811,-0.35086662594963813,-0.03551381669315709
HTRK,44,499,60,20,0.0006951455441808028,0.42669079377519964,-0.011311590270841804,0.0029236202722698413,0.012426942877306535,0.2352646424092615,-1.145511867533187,0.05847240544539682,-0.4495694381751436,-0.08061858947192846,-0.008315842804247206,0.09914454728772723
HUXZ,8,499,60,20,-0.002045641896658666,1.0510438352112934,-0.031733718116452626,-0.0014146479324723615,0.015549520575013806,-0.090976948494832,-1.9498395489247002,-0.02829295864944723,-0.07754152273921949,-0.7928691683984721,0.0368957862459254,-0.09254011193988453
IHOZ,34,499,60,20,0.0031441257818937847,0.8053643202827403,0.0068854448353352265,-0.0007824596596248684,0.015835249933255947,-0.04941252351070305,0.48423008965943537,-0.015649193192497367,-0.21947001189052742,-0.5853335317950239,-0.0658194466153646,0.20012212705138632
ILVX,46,499,60,20,-0.002367632115892534,0.5907235957598559,-0.004035117093795593,0.0010657045540918176,0.010245818223382929,0.10401361129555028,-0.49784424598187327,0.02131409108183635,-0.35810892473853906,-0.42476981507259426,-0.10018163900243753,-0.008765025336421164
ITPA,43,499,60,20,-0.0005685360226221617,0.8806253962114826,0.02175827436056317,0.0061968614883666055,0.014019173890025124,0.4420275785847678,1.1100092626191598,0.12393722976733211,0.25129041155943743,-0.6009146323853751,0.09044323938169223,-0.06633927354049542
LSST,2,499,60,20,-0.0011522111367226378,0.7884709512080806,-0.009802902001784193,-0.0008890210013465202,0.019217442319345718,-0.046261151019642455,-0.46384325511747687,-0.017780420026930404,0.6194143757159466,-0.30183753299292393,0.35881976943797844,0.022459841047375834
MDGI,22,499,60,20,-0.00271786110561426,0.7311288941816169,-0.01288047003669137,0.00272947729290465,0.018374483554344685,0.1485471569762438,-0.8495448203171411,0.054589545858092996,-0.25658799264365206,-0.5204404093628527,-0.08703770979217476,-0.21365697790496996
MHRM,49,499,60,20,-0.004622291754183035,0.9395976824592155,0.02027377707593922,0.0018416066922944986,0.022644436759971173,0.08132711410821786,0.8139822853190801,0.03683213384588997,-0.4293217549084325,-1.205363398679975,0.15893618923409872,-0.12456365044232626
MMBT,21,499,60,20,0.0023477149871183054,1.9878660869931435,6.165665571627793e-07,-0.004577056764187782,0.03369001608047815,-0.13585795724330274,0.13587625840871892,-0.09154113528375564,0.5765595192201897,-0.52285906714574,0.10214353217930588,0.027218509570949456
MSDP,12,499,60,20,-0.003929342414059537,0.625980241701801,0.04320072543499533,-0.0029431569564926105,0.02426910931080842,-0.12127173349463857,1.9013422289435826,-0.05886313912985221,0.16500346255719878,-0.3495228390268674,-0.289481896035037,-0.1658742429997273
MTNS,33,499,60,20,-0.001174054190503453,0.6467053601241238,0.012520825584078113,0.0012492398558767164,0.017037952416243268,0.07332100861402474,0.6615575306722621,0.024984797117534326,-0.5002465046052132,0.39201712071512107,0.2638166750390213,0.1190000728853737
NAYO,35,499,60,20,-0.0014298474771729326,1.4963354319597324,0.04084078759245568,-0.005058566209079002,0.03126445458898673,-0.1617992789441125,1.4681002565035395,-0.10117132418158004,0.6072903509141327,-0.716406726312357,-0.1421934982214154,-0.08274079342782889
NGTE,45,499,60,20,-0.0005177652606724098,1.1613072301563396,0.016380850466815783,0.0030225496549716947,0.016448301740437175,0.18376059137709855,0.8121386038902422,0.06045099309943389,0.396632599517557,1.9304220852579865,-0.1453957202349622,-0.03330898933541813
NPCK,11,499,60,20,-4.598970525260607e-05,0.47601287336183223,0.011328555281101356,0.0005326995344585634,0.014544059881321115,0.03662660486861083,0.7422862553328643,0.010653990689171269,-0.5329250113551927,-0.2539347865902588,0.029416325382899528,0.09105523500527352
NWIG,20,499,60,20,0.00116892864959051,0.9176223021146992,0.01109096161526123,-0.0007759435305709576,0.022057149149578927,-0.035178776971990074,0.5380072041657626,-0.015518870611419152,-1.3260851655915724,2.451049910075997,-0.22081739285073831,0.21966297219348985
OTCS,6,499,60,20,0.0033466958656496663,0.927089424065202,-0.03162227753053916,-0.001572992647860488,0.02191734067730653,-0.07176932051292075,-1.371027868987411,-0.03145985295720976,-0.20355563949476094,-1.1935008495136517,-0.22698696918625424,0.15465593188978155
RCRI,30,499,60,20,0.003383447691463531,1.4140426570231621,-0.03671588842402631,-0.007665526224732627,0.03788276188662083,-0.2023486631643899,-0.7668491090020942,-0.15331052449465254,0.11651753090814,-1.3436670742720955,-0.09629913260715735,-0.21301874999213266
RRES,24,499,60,20,0.0037338865524598535,1.2422957189821386,0.036960810909584425,-0.006898608160211396,0.02226616538999604,-0.3098247066515939,1.9697787338587454,-0.13797216320422792,0.441180050978773,-0.40838598499746714,0.19597207877420422,-0.03340132573042229
RTTH,18,499,60,20,0.0014090949985179407,0.672640883471303,-0.004931784838924603,-0.002264833737754434,0.029980445013963117,-0.07554369979163446,-0.08895635471481698,-0.04529667475508868,0.7090362633250255,0.329726083092579,0.014554710750498797,-0.10218959303056321
SMAH,10,499,60,20,-0.00011655766312503919,1.2105730165737356,-0.020235576258147432,0.0004857105707156195,0.020506824415272636,0.023685313770662724,-1.010458099667089,0.00971421141431239,1.011738734091807,0.9499965063755895,0.027491807026792957,0.021685768932165915
SPLZ,19,499,60,20,-0.0059821039469267106,1.0329716544712666,-0.012484703775589545,-0.0024599992751613885,0.027939865926476386,-0.0880462090131307,-0.3587957267514495,-0.04919998550322777,0.04489814755351859,-0.730930837003771,-0.07909502943892609,-0.06594535995019074
SRNA,3,499,60,20,-0.00037633376144199866,0.784025645618261,-0.00801963550963758,0.002613936828993267,0.013601152382839944,0.1921849528199663,-0.7818140727580422,0.05227873657986534,0.012304798033001812,-1.3330822582690731,0.2957626028161209,0.06562558233077954
SRTX,28,499,60,20,-0.0015951827071846922,1.2496549116295756,-0.015937796736798064,-0.001444349977099818,0.012792319619630031,-0.11290758987005285,-1.1329803499795148,-0.02888699954199636,-0.0703976600377278,-0.9717464103386613,-0.21612045669847202,-0.05467284391609318
ULXY,40,499,60,20,-0.002857931117336786,1.1001508650662535,-0.04564419141804306,-0.003216579921192563,0.034414887958526964,-0.09346477969269669,-1.232827244650036,-0.06433159842385126,0.08665112590458053,0.06826184750523856,0.18537124444698616,-0.09897752114836998
